ID	BY4741_24	BY4741_37	Elo1_24	Elo1_37	Elo2_24	Elo2_37	Elo3_24	Elo3_37
BY4741_24	0	1.86693	0.41751	1.17627	2.60703	1.25825	0.510713	0.976139
BY4741_37	1.86693	0	2.11214	0.438841	2.08771	2.2901	2.70249	3.40717
Elo1_24	0.41751	2.11214	0	1.46383	2.13908	0.885466	0.472971	0.907646
Elo1_37	1.17627	0.438841	1.46383	0	2.4977	2.05225	2.12363	2.8006
Elo2_24	2.60703	2.08771	2.13908	2.4977	0	1.37253	1.51065	0.788249
Elo2_37	1.25825	2.2901	0.885466	2.05225	1.37253	0	0.784798	1.31946
Elo3_24	0.510713	2.70249	0.472971	2.12363	1.51065	0.784798	0	0.442401
Elo3_37	0.976139	3.40717	0.907646	2.8006	0.788249	1.31946	0.442401	0
