Species,BY4741,BY4741,elo1,elo2,elo3,elo1,elo2,elo3
TAG 12:0-14:1-16:1,0.030568242167432,0,0.044032867613557,0,0.040114149993135,0,0,0
TAG 12:0-12:0-18:1,0.007499543024706,0,0.016367474050878,0.004780304570093,0.010079811142137,0,0,0
TAG 12:0-14:0-16:1,0.13248828267698,0,0.112761743158659,0.054789644687991,0.057728871429069,0,0.001985772628123,0
TAG 12:0-14:0-16:0,0.073779177073175,0,0.055911778131862,0.034945062465872,0.001101470503235,0,0,0
TAG 12:1-16:1-16:1,0,0,0,0,0,0,0,0
TAG 12:0-16:1-16:1,0.107667456989695,0,0.173656570640065,0.062582416638778,0.111527738323902,0,0,0
TAG 12:0-16:0-16:1,0.211592653789651,0,0.242891576640758,0.131407286727203,0.093770342597481,0,0.016981174611007,0.014997238547911
TAG 12:0-16:0-16:0,0.096425678858742,0.003027191113696,0.087930572525002,0.07166854375936,0,0,0.009725630086461,0.003581244025003
TAG 14:1-16:1-16:1,0.017301816465976,0,0.067166317387328,0.002173748544496,0.037749552837801,0,0,0
TAG 14:0-16:1-16:1,0.190175677498069,0,0.323011976977306,0.114565299104501,0.142769784450902,0.032714256160721,0.002661634870187,0.025869995041519
TAG 12:0-16:1-18:1,0.030391186498951,0,0.069276260918577,0.037204209410426,0.023596409621031,0,0.000887031139681,0
TAG 14:0-16:0-16:1,0.16528444856965,0.00664156365543,0.22160407134744,0.122965309832541,0.062760556594995,0.045732001591215,0.014784321926035,0.0416069593744
TAG 12:0-16:0-18:1,0.038800877236138,0,0.049447231222099,0.038764244848257,0.01231904373816,0.007446473301631,0.005842262649683,0.007617991146685
TAG 14:0-16:0-16:0,0.01465981392835,0,0.031116425593894,0.021860680313808,0,0,0,0
TAG 16:1-16:1-16:1,0.607868274692579,0.0837789964904,1.02032743081102,0.345391258677792,0.337924562880186,0.057258021184455,0.108047899734027,0.220082990017045
TAG 14:1-16:1-18:1,0.015129459033206,0,0.050328130593258,0.016611210375873,0.019125187174074,0.001815095772418,0,0
TAG 16:0-16:1-16:1,0.794895611344525,0.230113299415438,0.839537161992751,0.488340772694224,0.244837288399909,0.143008311282176,0.199690975484651,0.297591931084174
TAG 14:0-16:1-18:1,0.082362154783405,0.012354962930507,0.158275280523692,0.085628204494977,0.044407228801789,0.037619049082521,0.015488236631093,0.025465946132
TAG 16:0-16:0-16:1,0.291100606800682,0.135503229918617,0.258481372359531,0.206477344997768,0.062545102272802,0.075920906192533,0.121120643337735,0.127107945181797
TAG 14:0-16:0-18:1,0.042337121608303,0.010452386694466,0.06964055819585,0.053668691060473,0.016971664366506,0.027897177485229,0.011321874978027,0.017520511927864
TAG 12:0-14:1-22:0,0.003771805588421,0,0.011082175651212,0.00491356626343,0.004357399508063,0,0,0
TAG 16:0-16:0-16:0,0,0,0.002211173712725,0.001183507316443,0,0,0,0
TAG 16:1-16:1-18:1,0.620930121774979,0.146103516497297,1.34279982132595,0.678520469192032,0.269475331460549,0.122984676558775,0.210565565845628,0.191455988205406
TAG 16:1-16:1-18:0,0.420718396466113,0.169997588393688,0.518983786701376,0.443255495210817,0.101901260045779,0.109674161794901,0.173993188186294,0.125919500714203
TAG 16:0-16:1-18:1,0.34355386267127,0.168122570689925,0.467696491392729,0.389913900952155,0.083483909835365,0.106048850055517,0.190203546190275,0.117285441371547
TAG 16:0-16:1-18:0,0.230282920782942,0.155115429505541,0.219515217097111,0.235989115247838,0.042811479316479,0.079121338928664,0.162869938843187,0.091590206369072
TAG 14:0-18:0-18:1,0.038507957891519,0.027398173168183,0.053866511956435,0.055272521321899,0.011761620496087,0.024792834324702,0.031380248419157,0.016162191634425
TAG 12:0-16:1-22:0,0,0,0,0,0.00998207598956,0,0,0.003611237504001
TAG 16:0-16:0-18:0,0,0,0,0,0,0,0,0.000869706023984
TAG 16:1-18:1-18:1,0.173669396647833,0.047962115693846,0.510172362955187,0.417840975660325,0.063278348806573,0.048095026911765,0.104049732449434,0.023323761918503
TAG 16:1-18:0-18:1,0.170999836813382,0.110899663275264,0.254054231143431,0.296050353418548,0.051282158050446,0.078876141515934,0.134289063180778,0.060474179228229
TAG 16:0-18:1-18:1,0.12097063831798,0.085395050633779,0.223617049261933,0.253862312150119,0.03036166236179,0.051639482779303,0.118102111117409,0.037295697916391
TAG 14:1-16:1-22:0,0,0,0,0,0.006528245403863,0,0,0
TAG 16:1-16:1-20:0,0.007242348545736,0,0.010012864263878,0,0.007069194247666,0,0,0.013132944893469
TAG 16:0-18:0-18:1,0.063048647390779,0.09162820086537,0.04196747789889,0.107915907984061,0.015370119532908,0.042248544749957,0.081153509844112,0.030662199635103
