Species,0086SE_IS01,0086SE_0001,0086SE_0002,0086SE_0003,0086SE_0004,0086SE_0005,0086SE_0006,0086SE_0007,0086SE_0009,0086SE_0010,0086SE_0011,0086SE_0013,0086SE_0014,0086SE_0015,0086SE_0016,0086SE_0017,0086SE_0018,0086SE_0019,0086SE_0020,0086SE_0021,0086SE_0022,0086SE_0024,0086SE_0025,0086SE_0026,0086SE_0027,0086SE_0028,0086SE_0029,0086SE_0030,0086SE_0031,0086SE_0032,0086SE_0033
PE O-34:3,0,3.165,2.303,2.085,0,0,0,1.276,1.424,0,0,0,1.591,1.259,1.466,0,0,0,0,0,0,0,0,0,0,1.215,1.283,0,1.178,0,0
PE O-36:3,0,3.603,4.388,3.397,0,0,0,2.682,2.578,1.77,2.143,0,2.575,1.787,1.989,1.938,0,2.007,1.621,1.754,0,0,0,0,1.98,2.877,2.445,1.251,2.039,2.608,2.452
PE O-36:4,0,3.439,2.957,2.327,0,0,0,2.018,1.767,1.404,0,0,1.697,0,1.737,1.56,0,2.973,1.54,1.852,0,0,0,0,1.372,1.933,1.525,0,1.648,1.299,1.46
PE O-38:5,0.108,7.714,11.256,9.416,1.249,1.325,0.928,5.939,5.274,7.54,3.484,4.358,6.548,4.789,6.439,7.579,4.913,14.195,7.545,9.647,6.168,0.867,0.627,0.728,7.192,9.572,7.101,4.325,8.06,4.148,5.579
PE O-38:6,0,6.924,9.541,7.411,2.103,1.75,1.554,7.071,5.546,7.314,4.022,2.289,6.327,4.808,6.511,6.627,4.135,8.844,5.891,8.371,4.967,1.417,1.183,1.217,4.761,7.416,5.927,3.626,6.95,2.801,5.623
PI 34:1,0,4.189,6.699,3.16,0,3.021,4.292,2.543,3.39,3.363,5.175,1.871,7.512,6.861,5.054,3.617,6.187,10.391,15.275,24.783,9.2,7.168,7.091,5.324,3.446,3.54,4.811,2.422,4.286,4.875,3.783
PI 34:2,0,0,3.223,0,0,0,3.73,0,0,0,0,0,4.229,3.835,3.024,3.15,2.891,4.537,6.666,9.729,3.115,3.959,5.182,3.123,0,0,0,0,0,0,0
PI 36:2,0,10.616,19.518,11.53,6.31,7.303,8.914,8.45,9.329,8.861,13.799,6.037,11.393,8.311,8.517,8.869,7.665,12.635,14.199,22.697,8.974,8.703,9.497,8.097,7.998,7.663,8.944,4.2,8.697,13.194,11.084
PI 36:3,0,3.328,3.987,0,0,0,2.486,0,0,0,0,0,3.374,3.185,2.71,0,2.987,3.049,4.452,6.867,0,2.272,2.977,2.829,0,0,0,0,0,0,0
PI 36:4,0,2.321,3.921,0,0,3.316,4.667,0,0,4.211,4.602,0,5.438,6.127,4.994,5.562,6.278,9.336,10.411,11.799,6.73,3.651,5.404,3.251,3.373,3.353,3.758,0,4.248,2.448,0
