Species,0086SE_IS01,0086SE_0001,0086SE_0002,0086SE_0003,0086SE_0004,0086SE_0005,0086SE_0006,0086SE_0007,0086SE_0009,0086SE_0010,0086SE_0011,0086SE_0013,0086SE_0014,0086SE_0015,0086SE_0016,0086SE_0017,0086SE_0018,0086SE_0019,0086SE_0020,0086SE_0021,0086SE_0022,0086SE_0024,0086SE_0025,0086SE_0026,0086SE_0027,0086SE_0028,0086SE_0029,0086SE_0030,0086SE_0031,0086SE_0032,0086SE_0033
TG 50:4,0,14.759,11.519,5.278,3.908,4.54,7.143,7.456,9.315,12.342,9.381,2.328,19.073,19.994,13.095,7.582,22.009,20.504,24.966,40.329,32.916,6.165,8.776,9.131,5.38,5.733,4.927,2.766,7.001,6.747,5.691
TG 50:5,0,4.642,2.591,0.622,0.326,0.694,1.226,1.716,2.022,2.645,1.784,0.162,4.831,5.702,2.869,1.534,3.852,3.965,6.61,8.404,5.206,1.632,2.181,1.803,0.974,0.933,0.85,0.174,0.914,1.828,0.9
TG 51:1,0.458,5.605,6.527,3.031,1.659,1.563,2.421,1.703,2.203,2.797,5.317,1.323,13.486,17.158,7.92,1.857,4.031,6.47,5.703,8.401,10.219,2.116,2.727,2.857,2.401,2.822,2.811,1.592,3.587,12.462,4.011
TG 51:2,0.419,8.16,13.521,7.254,4.86,4.75,6.131,6.253,7.322,10.56,14.116,3.389,21.674,24.701,15.168,6.448,14.083,15.236,11.294,18.679,28.434,5.577,6.835,8.045,6.712,8.028,7.324,4.587,10.818,17.075,9.136
TG 51:3,0,4.087,7.565,5.038,2.808,2.688,3.24,5.143,5.81,7.118,7.456,2.095,8.722,9.62,6.7,4.035,7.291,6.216,4.665,7.52,12.815,2.565,3.499,3.84,3.795,4.036,3.725,2.149,5.442,7.274,4.891
TG 51:4,0,2.099,2.871,1.739,0.591,0.664,1.153,2.111,2.031,2.726,2.33,0.487,3.612,4.138,2.471,1.334,2.556,2.882,2.987,4.931,4.091,1.013,1.315,1.343,1.126,1.411,1.227,0.736,1.453,2.597,1.789
TG 52:2,9.732,188.369,398.216,214.904,246.246,220.053,281.752,140.987,175.87,324.712,502.861,217.523,396.898,444.983,310.991,189.734,596.118,702.098,608.974,1089.594,1061.746,109.127,120.391,168.012,250.297,314.528,252.609,221.983,589.905,415.648,271.145
TG 52:3,3.601,142.558,275.549,221.073,202.204,179.162,208.296,169.401,189.838,313.008,395.462,190.654,248.511,230.877,201.833,180.916,441.747,368.783,259.981,506.254,665.648,73.073,93.345,119.761,199.996,231.506,186.425,154.285,441.748,263.285,239.712
TG 52:4,0.863,47.834,83.712,66.176,50.44,48.431,56.803,67.79,71.541,110.26,106.274,50.622,77.242,66.86,62.15,60.513,128.073,93.014,74.198,135.254,178.931,17.042,27.723,33.333,55.699,61.754,49.929,35.054,117.196,56.14,67.96
TG 52:5,0.128,13.036,18.686,9.285,8.038,9.184,12.158,17.227,18.96,25.499,15.952,6.692,20.874,19.495,17.063,14.803,28.311,25.672,30.338,43.993,37.984,6.959,10.676,9.841,11.293,12.186,10.5,6.153,18.055,7.935,10.675
TG 52:6,0,3.118,3.719,1.281,0.815,1.412,1.912,3.711,3.68,6.106,2.763,0.851,5.961,5.91,4.222,2.868,5.962,5.729,7.928,10.544,7.549,2.233,3.368,2.378,1.672,1.817,1.699,0.882,2.278,1.709,1.578
TG 53:2,0.468,4.518,9.828,4.562,3.838,3.511,4.109,3.384,4.619,5.041,8.982,3.255,11.344,12.393,9.477,3.703,6.162,8.113,4.874,8.04,13.446,2.505,2.97,4.151,3.76,4.807,4.611,3.159,6.9,11.484,6.626
TG 53:3,0.111,4.071,8.509,4.856,4.399,4.312,4.331,4.416,5.375,6.362,9.277,3.263,8.886,8.965,7.987,4.137,6.874,7.138,3.548,6.931,13.454,2.443,2.974,3.834,4.034,4.414,4.3,2.837,6.715,8.076,7.109
TG 53:4,0,2.063,4.193,2.506,1.717,1.785,1.861,2.803,2.769,3.63,4.114,1.47,4.573,4.402,3.692,1.904,3.45,3.391,2.018,3.376,5.886,1.133,1.577,1.875,1.961,2.128,2.055,1.252,2.918,3.498,3.258
TG 54:2,2.579,30.815,71.58,17.103,29.179,27.353,35.757,9.705,13.089,20.567,43.658,19.618,51.506,56.797,48.684,13.886,37.899,80.855,43.109,82.415,66.337,8.592,9.499,14.1,18.627,22.615,20.366,16.585,34.224,60.725,36.633
TG 54:3,2.835,66.111,172.026,57.384,113.917,109.336,116.918,40.26,48.912,69.505,173.765,77.507,109.965,107.203,121.627,49.095,119.009,172.024,92.072,189.203,248.537,28.916,31.694,49.091,62.206,72.338,63.075,51.42,122.321,131.11,101.909
TG 54:4,1.338,55.628,120.577,57.24,79.694,74.868,76.85,46.655,50.822,63.383,135.86,64.681,78.487,67.387,85.045,41.877,90.746,104.77,57.305,126.187,150.319,19.71,25.49,34.716,51.096,55.924,49.247,37.105,95.372,76.117,80.488
TG 54:5,0.529,30.781,60.763,33.342,33.969,33.812,35.837,34.968,35.146,46.173,66.227,40.301,54.718,41.491,50.091,28.594,61.776,65.894,54.633,99.758,77.979,13.912,18.513,19.986,32.943,34.315,31.235,24.95,65.95,33.716,39.185
TG 54:6,0.275,11.979,22.854,12.862,10.05,11.488,13.13,21.333,17.998,30.791,24.217,18.255,31.456,20.894,22.272,14.139,28.839,27.481,29.634,45.972,31.396,7.487,10.957,8.614,13.814,13.516,12.374,10.046,24.762,12.062,15.389
TG 54:7,0,2.624,5.7,2.188,1.812,2.108,2.513,7.18,5.415,12.731,4.406,2.947,6.757,6.116,6.747,4.18,8.838,7.533,9.175,12.361,8.669,3.199,4.828,2.794,2.757,2.658,2.85,1.245,3.905,1.951,3.272
TG 55:0,0.159,0.708,0.046,0.33,0.38,0.398,0.414,1.071,0.238,0.384,0,0.235,0,0,0,0.065,0.062,0,0,0,0,0.267,0.489,0.101,0.719,0.374,0.455,0.673,0.561,0.5,0.52
TG 55:3,0,0.174,1.135,0.242,0.844,0.789,0.884,0.12,0.516,0.431,1.55,0.613,1.652,1.734,1.585,0.505,0.815,1.435,0.163,0.734,2.369,0.154,0.292,0.47,0.328,0.593,0.415,0.375,0.911,1.809,1.391
TG 55:4,0,0.206,0.637,0,0.15,0.293,0.357,0,0.271,0.138,0.963,0.181,1.008,0.977,0.875,0,0.299,0.459,0,0.249,1.271,0.132,0.098,0.147,0,0.115,0.281,0.117,0.267,0.74,0.585
TG 55:5,0,0.293,1.145,0,0.195,0.241,0.435,0.159,0.388,0.519,0.692,0.285,1.165,1.363,1.331,0.217,0.689,1.169,0.199,0.244,1.436,0.205,0.348,0.292,0.204,0.322,0.506,0.14,0.892,1.125,0.743
TG 56:4,0,4.315,5.721,2.377,4.161,3.8,3.677,1.486,2.279,2.513,6.333,2.925,5.83,5.74,6.98,1.782,6.502,8.023,4.313,9.868,11.656,1.38,1.414,2.487,2.154,2.806,2.596,1.943,5.653,3.872,4.362
TG 56:5,0,7.239,17.361,10.354,13.197,11.195,9.574,8.32,9.578,12.077,18.706,12.715,14.262,13.104,14.877,7.634,23.681,21.024,14.8,26.737,28.711,4.206,4.815,5.507,10.865,11.361,10.959,8.502,26.349,14.78,11.917
TG 56:6,0,7.441,22.028,14.299,16.828,15.287,12.846,15.705,15.131,22.866,28.365,21.308,20.688,17.695,18.601,13.465,35.975,30.032,22.384,36.349,43.155,6.739,8.906,7.842,17.262,16.873,16.916,13.037,38.179,15.726,15.568
TG 56:7,0,5.47,19.022,10.735,9.755,8.779,7.353,18.368,13.234,36.885,19.622,17.569,15.555,12.354,13.721,11.134,26.308,21.195,15.529,25.49,23.913,6.665,8.937,5.991,11.156,10.437,10.7,7.187,22.24,11.509,15.221
TG 56:8,0,1.813,7.415,4.024,2.594,2.565,2.315,9.315,5.534,19.608,6.424,6.637,6.206,4.647,5.11,5.096,8.635,6.836,5.367,7.96,6.796,2.796,4.308,2.295,3.631,3.35,3.411,2.009,6.816,3.567,6.264
TG 58:7,0,1.425,4.432,1.463,2.612,2.161,1.493,1.842,2.175,4.03,3.837,2.683,3.467,2.985,3.705,1.647,5.386,4.708,3.685,5.685,5.841,1.685,2.076,1.699,2.317,2.04,2.233,1.227,3.666,2.558,2.864
TG 58:8,0,1.359,5.805,2.068,2.347,1.915,1.266,4.507,2.562,7.95,4.454,3.881,3.348,2.505,3.344,2.106,5.205,4.203,2.821,4.436,4.059,1.91,2.519,1.653,2.488,2.241,2.333,1.23,3.642,3.101,3.929
