DG(12:0_12:0)	5	Undefined lipid class 12:0_12:0	UNDEFINED_CATEGORY	Undefined lipid class 24:0
DG (12:0_12:0)	5	Undefined lipid class 12:0_12:0	UNDEFINED_CATEGORY	Undefined lipid class 24:0
DG(12:0_12:0)	5	Undefined lipid class 12:0_12:0	UNDEFINED_CATEGORY	Undefined lipid class 24:0
DG(12:0_13:0)	5	Undefined lipid class 12:0_13:0	UNDEFINED_CATEGORY	Undefined lipid class 25:0
DG(12:0_14:0)	5	Undefined lipid class 12:0_14:0	UNDEFINED_CATEGORY	Undefined lipid class 26:0
DG(12:0_14:1)	5	Undefined lipid class 12:0_14:1	UNDEFINED_CATEGORY	Undefined lipid class 26:1
DG(12:0_15:0)	5	Undefined lipid class 12:0_15:0	UNDEFINED_CATEGORY	Undefined lipid class 27:0
DG(12:0_16:0)	5	Undefined lipid class 12:0_16:0	UNDEFINED_CATEGORY	Undefined lipid class 28:0
DG(12:0_16:1)	5	Undefined lipid class 12:0_16:1	UNDEFINED_CATEGORY	Undefined lipid class 28:1
DG(12:0_16:2)	5	Undefined lipid class 12:0_16:2	UNDEFINED_CATEGORY	Undefined lipid class 28:2
DG(12:0_17:0)	5	Undefined lipid class 12:0_17:0	UNDEFINED_CATEGORY	Undefined lipid class 29:0
DG(12:0_18:0)	5	Undefined lipid class 12:0_18:0	UNDEFINED_CATEGORY	Undefined lipid class 30:0
DG(12:0_18:1)	5	Undefined lipid class 12:0_18:1	UNDEFINED_CATEGORY	Undefined lipid class 30:1
DG(12:0_18:2)	5	Undefined lipid class 12:0_18:2	UNDEFINED_CATEGORY	Undefined lipid class 30:2
DG(12:0_18:3)	5	Undefined lipid class 12:0_18:3	UNDEFINED_CATEGORY	Undefined lipid class 30:3
DG(12:0_18:4)	5	Undefined lipid class 12:0_18:4	UNDEFINED_CATEGORY	Undefined lipid class 30:4
DG(12:0_19:0)	5	Undefined lipid class 12:0_19:0	UNDEFINED_CATEGORY	Undefined lipid class 31:0
DG(12:0_20:0)	5	Undefined lipid class 12:0_20:0	UNDEFINED_CATEGORY	Undefined lipid class 32:0
DG(12:0_20:1)	5	Undefined lipid class 12:0_20:1	UNDEFINED_CATEGORY	Undefined lipid class 32:1
DG(12:0_20:2)	5	Undefined lipid class 12:0_20:2	UNDEFINED_CATEGORY	Undefined lipid class 32:2
DG(12:0_20:3)	5	Undefined lipid class 12:0_20:3	UNDEFINED_CATEGORY	Undefined lipid class 32:3
DG(12:0_20:4)	5	Undefined lipid class 12:0_20:4	UNDEFINED_CATEGORY	Undefined lipid class 32:4
DG(12:0_20:5)	5	Undefined lipid class 12:0_20:5	UNDEFINED_CATEGORY	Undefined lipid class 32:5
DG(12:0_21:0)	5	Undefined lipid class 12:0_21:0	UNDEFINED_CATEGORY	Undefined lipid class 33:0
DG(12:0_22:0)	5	Undefined lipid class 12:0_22:0	UNDEFINED_CATEGORY	Undefined lipid class 34:0
